data_index,model,n_folds,score,score_mean,score_std
minmax_scaled_spatial_comp+m,Ridge,3.0,neg_mean_squared_error,0.4703069775547499,0.051495416667737395
spatial_comp+m,Ridge,3.0,neg_mean_squared_error,0.47723718474529225,0.0490488567287044
minmax_scaled_full,Ridge,3.0,neg_mean_squared_error,0.47953683264697644,0.046765963720704996
minmax_scaled_full_wo_co2,Ridge,3.0,neg_mean_squared_error,0.4797854385842455,0.0472244817831336
full,Ridge,3.0,neg_mean_squared_error,0.5068886219059986,0.05187377476653955
full_wo_co2,Ridge,3.0,neg_mean_squared_error,0.5071774223281514,0.051993446408219166
minmax_scaled_high_var_x,Ridge,3.0,neg_mean_squared_error,0.6458542477826251,0.049476562338105004
high_var_x,Ridge,3.0,neg_mean_squared_error,0.6635535315187807,0.06376827072874816
spatial_comp+m,RegChain K-nn,3.0,neg_mean_squared_error,0.7070737797151022,0.18843069859684772
spatial_comp+m,K-nn,3.0,neg_mean_squared_error,0.7119491805524504,0.1877089106748691
minmax_scaled_full_wo_co2,K-nn,3.0,neg_mean_squared_error,0.7145551616775597,0.20444722522790892
minmax_scaled_full,K-nn,3.0,neg_mean_squared_error,0.7160897392193876,0.2042786873193251
minmax_scaled_spatial_comp+m,K-nn,3.0,neg_mean_squared_error,0.7174339510618447,0.20646096612063533
minmax_scaled_full_wo_co2,RegChain K-nn,3.0,neg_mean_squared_error,0.7267371771394163,0.20816925688484092
minmax_scaled_full,RegChain K-nn,3.0,neg_mean_squared_error,0.7270979544211117,0.20774954637186704
minmax_scaled_spatial_comp+m,RegChain K-nn,3.0,neg_mean_squared_error,0.7309109129494132,0.20892084386224452
minmax_scaled_full_components,Ridge,3.0,neg_mean_squared_error,0.7490800065419855,0.09068624941616182
full,RegChain K-nn,3.0,neg_mean_squared_error,0.7589124538379463,0.22033133783002917
full_wo_co2,RegChain K-nn,3.0,neg_mean_squared_error,0.7598526010175201,0.2199507383865391
full,K-nn,3.0,neg_mean_squared_error,0.7666792739123739,0.21370191885868142
full_wo_co2,K-nn,3.0,neg_mean_squared_error,0.7686039398213499,0.21299599783321577
full_components,Ridge,3.0,neg_mean_squared_error,0.7692038827167339,0.065271617090541
full_components,MultiO/P AdaB,3.0,neg_mean_squared_error,0.7847033199533108,0.03388344216428757
full_components,ElasticNet,3.0,neg_mean_squared_error,0.8197529765185325,0.28076416442155216
minmax_scaled_high_var_x,RegChain K-nn,3.0,neg_mean_squared_error,0.8264890146712444,0.23493913549291698
minmax_scaled_full_wo_co2,MultiO/P AdaB,3.0,neg_mean_squared_error,0.8313902202532883,0.05939268253313805
spatial+m_comp,ElasticNet,3.0,neg_mean_squared_error,0.8336040184357584,0.280920687144303
minmax_scaled_full_components,RegChain K-nn,3.0,neg_mean_squared_error,0.839444907283156,0.2494017063933999
minmax_scaled_high_var_x,K-nn,3.0,neg_mean_squared_error,0.841655597387431,0.19528484972208207
