model,mean_score,std_score
Ridge,0.2192537080838346,0.030404645967016797
K-nn,0.31528288802309506,0.007547680754607615
RegChain K-nn,0.32101309944455036,0.021558678194625196
Extra trees,0.3538011126688152,0.06809783124845475
MultiO/P AdaB,0.40488068963887053,0.03792605010018335
RandomForestRegressor,0.41500100109244187,0.03776016956012675
MultiO/P GBR,0.5599889925837925,0.07352447545362172
Decision Tree Regressor,0.6233762190392055,0.20134177677755807
Lasso,0.8777619619229068,0.15368614607618566
ElasticNet,0.8777619619229068,0.15368614607618566
